adress,rating,nbreviews,latitude,longitude,distance
"93 rue de Rivoli, 75039 Paris, France",3.5,2475,48.86189,2.3279161,1122.1699613889305
"159 rue Saint Honore, 75001 Paris, France",3.5,971,48.8632433,2.3264277,1083.1184648788965
"34 rue des Saints Peres, 75007 Paris, France",4,103,48.8550911,2.3218104,1996.8883908282155
"24 rue des Francs Bourgeois, 75003 Paris, France",4,1004,48.8577816,2.3518877,1724.4128378465025
"14 rue de Castiglione, 75001 Paris, France",4.5,591,48.8662905,2.3197036,1342.6700701694424
"7 Rue du Faubourg Montmartrei | Metro Grands Boulevards, 75009 Paris, France",4,15640,48.8727372,2.3380784,319.80595074205075
"12 rue Marbeuf, 75008 Paris, France",4,1703,48.8678134,2.2941098,3161.291192328619
"Gare du Nord 6 rue de Belzunce, 75010 Paris, France",4,656,48.8808171,2.3483296,1459.3722510672787
"Aerogare des Invalides, Paris, France",4,2141,48.8574202,2.3002499,3040.030980506373
"7 Place de l Alma, 75008 Paris, France",3,1805,48.8650919,2.2931385,3268.109382227748
"31 rue Vital, 75116 Paris, France",4.5,222,48.8589037,2.2696418,5092.181208359465
"1 rue du Mail, 75002 Paris, France",4,646,48.8666381,2.3327491,489.48086466744866
"273 boulevard Pereire, 75017 Paris, France",4,630,48.8778157,2.276182,4549.020016212973
"2 rue Roger Verlomme, 75003 Paris, France",4,2337,48.8567452,2.3584533,2135.3634378296106
"39 boulevard du Temple, 75003 Paris, France",3.5,1538,48.8661071,2.355879,1429.5990500219568
"27 rue Malar, 75007 Paris, France",4.5,1240,48.8602834,2.2972564,3112.851698417795
"32 rue du Vertbois, 75003 Paris, France",3.5,539,48.8670504,2.3494187,948.0465030747583
"32 rue Legendre, 75017 Paris, France",4.5,451,48.8841112,2.3056941,2793.4672552208503
"54 boulevard de la Tour Maubourg, 75007 Paris, France",4,412,48.8586712,2.3010436,2926.3878251692277
"7 rue Stanislas, 75006 Paris, France",4.5,887,48.8437922,2.3197075,3174.8194852449883
"2 rue des Hospitalieres St Gervais, 75004 Paris, France",3,1641,48.8577545,2.3499587,1642.7718261048867
"Gare du Nord 10 rue de Belzunce, 75010 Paris, France",4,440,48.879568,2.3401028,1093.6447158445355
"13 rue de Charonne, 75011 Paris, France",4,1775,48.8528037,2.3655703,2815.139528693343
"14 boulevard Saint Germain, 75005 Paris, France",4,436,48.8496175,2.3455829,2338.9080167184043
"64 rue Vieille du Temple, 75003 Paris, France",4,1435,48.8589972,2.3507152,1565.3223894795499
"20 rue Germain Pilon, 75018 Paris, France",4.5,1562,48.884138,2.3281932,1713.2324407714675
"51 rue de Verneuil | Rue de la Maison de Gainsbourg Pour Les Fans, 75007 Paris, France",4.5,529,48.8580503,2.3245905,1610.5555611212835
"37 rue Berger, 75001 Paris, France",4,280,48.8618488,2.3348299,914.0312031303497
"54 rue de Seine, 75006 Paris, France",4.5,540,48.8540743,2.3281319,1882.8157777407766
"239 rue Saint Honore, 75001 Paris, France",3.5,1852,48.866668,2.3192197,1364.7547020862942
"62 rue de Seine, 75006 Paris, France",3.5,380,48.8533577,2.3368814,1841.591556475139
"55 rue Pierre Charron, 75008 Paris, France",3.5,627,48.8695937,2.2942478,3142.6740180462607
"11 rue Treilhard, 75008 Paris, France",4.5,224,48.8769214,2.3140378,1865.2207735599334
"16 Place Gaillon, 75002 Paris, France (Formerly Drouant)",4,836,48.8686423,2.3256834,855.0932456172832
"58 rue de la Croix Nivert, 75015 Paris, France",4.5,97,48.845387,2.2888981,4464.746100449784
"69 rue de Seine, 75006 Paris, 75006 Paris, France",4.5,1078,48.8542386,2.3283002,1861.384236198507
"142 avenue des Champs Elysees, 75008 Paris, France",3.5,884,48.8729936,2.2901472,3459.2177239451516
"99, avenue des Champs Elysees, 75008 Paris, France",4,2062,48.8716034,2.2925418,3272.549822225015
"40 rue Notre Dame des Victoires, 75002 Paris, France",4,638,48.8689257,2.3336095,285.6865792808646
"111 rue Saint Lazare, 75008 Paris, France",4,737,48.8753016,2.3173589,1570.5702086513836
"6 rue de Saint Simon, 75007 Paris, France",4,338,48.8565894,2.3152723,2184.570458871732
"19 rue Beaubourg | Centre Georges Pompidou, 75004 Paris, France",3.5,2688,48.8602784,2.3433613,1162.4312566130582
"9 rue Duphot, 75001 Paris, France",3.5,695,48.8679598,2.3168542,1504.8739648371254
"20 rue Quentin Bauchart | Ave des Champs-Elysees and Ave George V, 75008 Paris, France",3,225,48.8691069,2.296272,2995.7877912071976
"52 rue de Longchamp | Trocadero, 75116 Paris, France",4.5,175,48.865128,2.2788158,4304.45099773304
"17 rue Chaligny, 75012 Paris, France",4.5,1062,48.8465785,2.38349,4265.843703172516
"8 rue Gustave Flaubert, 75017 Paris, France",4.5,485,48.8815514,2.2989151,3085.056083139572
"Quartier Chinois 32 avenue de Choisy, 75013 Paris, France",3.5,540,48.8222219,2.3545785,5453.69605646549
"1 B avenue du General Leclerc, 75014 Paris, France",3,298,48.825743,2.3262807,4976.75028228787
"79 boulevard de Clichy | 79 Boulevard de Clichy, 75009 Paris, France",3.5,244,48.8843124,2.3291929,1704.6320916979155
"1 Place de la Republique, 75003 Paris, France",3,361,48.8672911,2.3641551,1992.2008047078477
"4, quai d'Orleans, lle Saint-Louis, 75004 Paris, France",4,153,48.8512843,2.3470743,2193.993140809142
"231 rue Saint Honore | Côté Cour, 75001 Paris, France",4.5,309,48.866239,2.3204443,1292.899171363728
"30 rue Pierre Lescot, 75001 Paris, France",3.5,487,48.8636256,2.3404961,739.7738386811399
"117 rue du Cherche Midi | 6th Arr, 75006 Paris, France",4,819,48.8457688,2.311122,3294.5346410523284
"47 rue de Richelieu, 75001 Paris, France",4.5,421,48.8663517,2.3370229,396.8074845474043
"8 avenue de Taillebourg, 75011 Paris, France",4,341,48.8496538,2.3894592,4436.908013793635
"44 rue Saint Ferdinand, 75017 Paris, France",4.5,204,48.877589,2.2779513,4417.199635988838
"9 rue du Mont Thabor, 75001 Paris, France",4,446,48.8654636,2.3201228,1344.5545798758073
"85 avenue des Ternes, 75017 Paris, France",4,302,48.8797319,2.2797198,4343.93348615222
"1 rue du Pont Neuf | 1, rue du Pont Neuf, 75001 Paris, France",3.5,3526,48.8592392,2.3343982,1205.1496715953274
"24 Place du Marche Saint Honore, 75001 Paris, France",4,868,48.866447,2.3233511,1084.8372886915618
"17 Rue Malar, 75007 Paris, France",4.5,372,48.8608384,2.2970382,3107.2302794783627
"9 Place des Vosges, 75004 Paris, France",4,533,48.8554532,2.3552497,2080.3848363539464
"9 rue Bouchut | Ecole Militaire, 75015 Paris, France",4.5,396,48.8467399,2.301464,3671.7939938285535
"28 rue du Mont Thabor, 75001 Paris, France",4,1096,48.8663534,2.3270047,845.3125869309387
"84 rue de Varenne, 75007 Paris, France",4,1338,48.8557614,2.3083377,2634.271566189712
"34 rue des Rosiers, 75004 Paris, France",4,4834,48.8574022,2.3504521,1695.527994404054
"181 rue du Chateau, 75014 Paris, France",4.5,415,48.8334164,2.3153309,4363.153596354956
"4 rue Beethoven, 75016 Paris, France",4.5,668,48.8583784,2.2875713,3851.246763643656
"5 rue Montalembert | Hotel Pont Royal, 75007 Paris, France",4,2662,48.8566945,2.3189367,1987.280682236545
"1 rue Maitre Albert, 75005 Paris, France",4,871,48.8510946,2.350203,2298.716738356687
"12 boulevard Saint Germain, 75005 Paris, France",4,269,48.8496127,2.3460084,2347.763212543869
"16 avenue de la Motte Picquet, 75007 Paris, France",4.5,623,48.8566976,2.2995535,3122.4580285831876
"161 avenue de Malakoff, 75116 Paris, France",4,1383,48.8765353,2.2745559,4641.132001233649
"106 rue de la Folie Mericourt, 75011 Paris, France",4.5,515,48.8678646,2.3601112,1690.3709053840068
"Butte aux Cailles 26 rue Bobillot, 75013 Paris, France",4,338,48.8288382,2.3443939,4598.002626147863
"41 avenue Montaigne, 75008 Paris, France",3.5,2330,48.867292,2.2976576,2907.836448607116
"15 Place de la Madeleine, 75008 Paris, France",3.5,314,48.8705497,2.3237481,987.276939769578
"25 rue Charles V, 75004 Paris, France",3.5,393,48.8533135,2.3530504,2179.7613195610024
"83 rue Laugier, 75017 Paris, France",4,368,48.8847359,2.2914109,3732.7788188723007
"11 rue Dupin, 75006 Paris, France",4,781,48.8497945,2.325474,2396.7570694638894
"Oberkampf 55 B rue Jean Pierre Timbaud, 75011 Paris, France",4.5,266,48.8669652,2.365525,2096.74292777316
"16 rue Saussier Leroy | 16 Rue Saussier-Leroy 75017 Paris, 75017 Paris, France",4,325,48.8797601,2.2875218,3795.253032028467
"35 rue Saint Louis en L Ile, 75004 Paris, France",4.5,661,48.8518282,2.3476282,2150.9865126496593
"92 rue Broca, 75013 Paris, France",4,307,48.8357947,2.337724,3794.5336603964456
"18 Rue Saint Rustique | Angle 2, Rue des Saules, 75018 Paris, France",4,714,48.8871613,2.3310635,1969.375783046717
"10 Place Constantin Brancusi, 75014 Paris, France",4,462,48.8372123,2.3122723,4068.827057602681
"70 boulevard Edgar Quinet, 75014 Paris, France",4,341,48.841878,2.3149274,3518.4629929566863
"4 rue Jean du Bellay, 75004 Paris, France",3.5,451,48.8528089,2.3447998,1981.7721357256387
"4 rue Juliette Recamier, 75007 Paris, France",4,1165,48.8522097,2.3193723,2362.304029893079
"171 boulevard du Montparnasse, 75006 Paris, France",4,1568,48.8401542,2.3272266,3389.2716936374322
"20 rue Saint Roch | 20 Rue Saint Roch, 75001 Paris, France",4.5,669,48.865613,2.3235569,1107.6006421867212
"67 rue du Montparnasse, 75014 Paris, France",4,1813,48.8416676,2.3167126,3480.9774757726627
"129 rue Saint Dominique, 75007 Paris, France",4.5,2195,48.858404,2.2937801,3425.3048621618323
"1 rue de la Michodiere, 75002 Paris, France",4,447,48.8691238,2.3255103,860.445153497297
"1 rue du Bac, 75007 Paris, France",4,930,48.859343,2.3206161,1690.1182730792436
"59 avenue de la Motte Picquet, 75015 Paris, France",4,572,48.8495676,2.2903418,4108.229123239471
"1 allee de Longchamp | Bois de Boulogne, 75116 Paris, France",4.5,1066,48.8663552,2.2383024,7245.443296567647
"14 rue Mabillon, 75006 Paris, France (Formerly La Grille Saint Germain)",3,345,48.8518625,2.3264467,2156.6299912802265
"69 rue du Rocher, 75008 Paris, France",4.5,225,48.8793563,2.3094604,2284.885259836382
"2 Place de l Odeon, 75006 Paris, France",4,638,48.850145,2.3298641,2263.4294041770386
"2 rue Descartes, 75005 Paris, France",4,241,48.8472331,2.3395985,2528.490237229533
"21 rue Quentin Bauchart, 75008 Paris, France",3.5,98,48.8705798,2.2928515,3245.395977251226
"27 rue de Vaugirard, 75006 Paris, France",4.5,609,48.8482433,2.3226839,2634.077263939081
"52 rue des Abbesses, 75018 Paris, France",4,1220,48.8856982,2.3267618,1913.8743113247879
"39 rue Geoffroy Saint Hilaire, 75005 Paris, France",3.5,879,48.8416643,2.3469198,3220.9552817363337
"26 rue Francois Miron, 75004 Paris, France",3.5,310,48.8557381,2.347367,1742.9615779358558
"11 rue de la Tour | Quartier Passy, 75116 Paris, France",4.5,352,48.8602142,2.2767463,4552.675980169521
"9 rue Vauvilliers, 75001 Paris, France",4,966,48.8618241,2.3344392,922.5868219142052
"105 boulevard du Montparnasse, 75006 Paris, France",4,1848,48.8423447,2.3204748,3301.5099749742753
"41 rue Lepic | Montmartre, Abbeses, 75018 Paris, France",4.5,612,48.8865248,2.3248286,2056.690924189677
"20 rue Beautreillis, 75004 Paris, France",4,137,48.853288,2.3553757,2277.0454972726034
"15 quai de la Tournelle, 75005 Paris, France",4.5,2393,48.849862,2.3461612,2324.239588889318
"4 rue Blainville, 75005 Paris, France",4,581,48.8445577,2.3400735,2827.706134566985
"164 boulevard de Grenelle, 75015 Paris, France",4,591,48.8479661,2.2916944,4128.773792853521
"8 Place de la Republique, 75011 Paris, France",3.5,1253,48.8667892,2.3569521,1485.1566209981581
"82 B boulevard du Montparnasse, 75014 Paris, France",3.5,1104,48.8428778,2.3172624,3342.272145575542
"131 boulevard Saint Germain, 75006 Paris, France",4,1444,48.8529438,2.3272764,2022.5702942212115
"63 Avenue Des Champs Elysees, 75008 Paris, France",3.5,2273,48.8703936,2.2955372,3048.5931497432916
"95 Boulevard Gouvion Saint Cyr | Im, 75017 Paris, France",4,905,48.8814409,2.2825685,4196.6083015769555
"67 rue Lauriston, 75116 Paris, France",4,386,48.8689922,2.2811342,4102.925523234369
"21 rue Bonaparte, 75006 Paris, France",4,3365,48.8555966,2.3253172,1814.6990301500996
"41 avenue Gabriel, 75008 Paris, France",4,449,48.8692526,2.3044246,2399.275192244149
"20 rue de Bellechasse, 75007 Paris, France",4,384,48.8589625,2.3146041,2054.0103056336225
"103 avenue des Ternes, 75017 Paris, France",4,722,48.8804827,2.276654,4581.962160284163
"33 rue Saint Jacques | Métro Cluny-La-Sorbonne, 75005 Paris, France",4,1523,48.8478946,2.3383495,2450.314191084308
"3 rue Jouye Rouve, 75020 Paris, France",4,428,48.8731222,2.37413,2723.5069158931533
"2 rue Casimir Perier, 75007 Paris, France",3.5,430,48.8576483,2.3101405,2404.7850874794153
"18 Rue Blanche, 75009 Paris, France",3.5,746,48.8780628,2.3232159,1366.7506136457116
"2 rue Marie Et Louise | et 33 rue Bichat, 75010 Paris, France",4,165,48.8718656,2.3674679,2223.4456233081814
"10 rue Gustave Flaubert, 75017 Paris, France",4,246,48.8814448,2.2899866,3683.8848659476234
"232 rue Saint Charles, 75015 Paris, France",4,175,48.8372919,2.2683589,6207.99197562176
"16 rue Princesse, 75006 Paris, France",4.5,881,48.8520647,2.3256762,2157.1352745269264
"33 rue de Lille, 75007 Paris, France",4,381,48.8584762,2.3208332,1747.6223726567332
"18 rue Paul Bert, 75011 Paris, France",4,1277,48.8521788,2.3762547,3471.0414442817673
"10 rue Servandoni | Saint Germain-Des-Pres, 75006 Paris, France",4.5,239,48.8500356,2.3259375,2359.6815495237556
"112 Rue Du Faubourg Saint-Honore | Le Bristol Paris, 75008 Paris, France",5,2859,48.8716861,2.3060448,2288.0362907015374
"16 rue Brey, 75017 Paris, France",4.5,177,48.8766562,2.2869983,3748.093624546443
"52 rue Fabert, 75007 Paris, France",3.5,529,48.8582493,2.3018996,2890.663956634685
"19 Rue des Fosses Saint-Jacques, 75005 Paris, France",4,221,48.8454667,2.3448249,2775.3254145235305
"Hopital Saint Louis 10 avenue Richerand, 75010 Paris, France",4,391,48.8721006,2.366185,2132.8908737565785
"37 avenue Hoche, 75008 Paris, France",4.5,806,48.8756351,2.2918537,3377.7335302589013
"14 Chemin de Ceinture du Lac Inferieur du Bois de Boulogne | Embarcadere des Iles, Porte de la Muette, 75016 Paris, France",3.5,1552,48.863457,2.251535,6307.955237016498
"3 rue Arsene Houssaye, 75008 Paris, France",4,486,48.8735817,2.2889619,3552.3777824549384
"1 rue Christine, 75006 Paris, France",4.5,1272,48.8542973,2.34025,1751.1103435298671
"114 rue Amelot, 75011 Paris, France",4,420,48.8635886,2.3584971,1708.57769571307
"9 Carrefour De L_Odeon | Relais St. Germain Hotel, 75006 Paris, France",4,1775,45.9602524,6.1696865,433286.07851243345
"80 avenue de la Grande Armee, 75017 Paris, France",4,1108,48.8775171,2.2846061,3939.0607739253182
"9 rue Cujas, 75005 Paris, France",4,374,48.8473835,2.3432689,2544.6065326005833
"2 rue de la Coutellerie, 75004 Paris, France",4.5,528,48.8575367,2.3506049,1689.7288406100065
"108 boulevard du Montparnasse, 75014 Paris, France",4,1361,48.8420072,2.3289451,3161.938424805144
"243 boulevard Raspail, 75014 Paris, France",4,181,48.8386677,2.322462,3638.6086515414167
"5 rue Parrot, 75012 Paris, France",3.5,261,48.84695,2.3643119,3233.1188045132735
"8 rue Muller | 18e, 75018 Paris, France",3.5,606,48.8868619,2.3470306,2016.2386597101147
"4 Place Tattegrain, 75116 Paris, France",3.5,336,48.8642091,2.2721514,4801.029769874358
"19 avenue de la Motte Picquet, 75007 Paris, France",4.5,1112,48.855696,2.2993219,3191.140370515854
"6 rue de l Amiral Coligny, 75001 Paris, France",4,1390,48.8606015,2.3409176,1070.8266070722175
"4 boulevard des Capucines, 75009 Paris, France",3.5,2489,48.8711247,2.3336188,295.0926379122235
"2 rue Vivienne | A proximité du métro Bourse Ligne 3; Near the metro Bourse Line 3, 75002 Paris, France",4,2625,48.8688115,2.3331076,324.4618507334879
"17 rue de Beaujolais, 75001 Paris, France",4.5,1116,48.8662963,2.3293323,703.1291707465
"171 rue de la Convention, 75015 Paris, France",4,210,48.8383146,2.2944282,4706.135175589776
"12 impasse Berthaud, 75003 Paris, France",4.5,467,48.8613207,2.3544371,1581.5717359753173
"Avenue Gustave Eiffel | Eiffel Tower - 2nd floor, 75007 Paris, France",4,535,48.8574084,2.292071,3583.109113090407
"3 rue des Rosiers, 75004 Paris, France",4,1129,48.8562426,2.3610262,2312.3465787644795
"8 rue Guisarde, 75006 Paris, France",4,347,48.851976,2.3256557,2166.800566338525
"77 rue de Richelieu, 75002 Paris, France",4,1687,48.8690156,2.3384067,133.0511236636439
"228 rue de Rivoli, 75001 Paris, France",4.5,987,48.8653323,2.3193826,1400.2826720041417
"Pyrenees 401 rue des Pyrenees, 75020 Paris, France",4,119,48.8738104,2.376937,2937.4420381090285
"42 boulevard des Batignolles | 42 Boulevard des Batignolles, 75017 Paris, France",4,172,48.8828841,2.3142542,2213.039753166938
"83 rue Lepic, 75018 Paris, France",4,949,48.8873872,2.3284505,2045.4214688709249
"51 rue du Cherche Midi, 75006 Paris, France",3.5,517,48.8488521,2.3166306,2784.610639019268
"25 rue Taitbout, 75009 Paris, France",4.5,402,48.873273,2.3264275,872.5491664127237
"28 rue de l Exposition, 75007 Paris, France",4.5,1059,48.8571298,2.2945119,3431.991479214326
"51 avenue de la Motte Picquet, 75015 Paris, France",3.5,491,48.8502388,2.2912929,4009.1003814429114
"47 avenue George V, 75008 Paris, France",3.5,611,48.8707553,2.2918151,3321.6633396723237
"50 rue Vavin, 75006 Paris, France",4.5,625,48.8427623,2.3198876,3274.8170843938587
"18 rue des Belles Feuilles, 75116 Paris, France",4,190,48.8665522,2.2737433,4657.390574549331
"6 rue Perronet, 75007 Paris, France",4.5,170,48.8553648,2.3216866,1977.0226794760574
"39 rue de la Bucherie, 75005 Paris, France",4.5,1811,48.8526139,2.338281,1925.7268283869284
"107 rue de Sevres, 75006 Paris, France",4,491,48.8483482,2.3118418,3032.726404275616
"9 rue de Bearn, 75003 Paris, France",4.5,1180,48.857338,2.3573194,2029.8065070208904
"9 boulevard de Port Royal, 75013 Paris, France",4,860,48.8366996,2.3409891,3704.0504346687253
"38 rue Pergolese, 75116 Paris, France",4.5,353,48.8745665,2.2740596,4647.653924853932
"9 rue de Pontoise | 9 Rue de Pontoise, 75005 Paris, France",4.5,1144,48.8498746,2.3434107,2274.3956942947057
"12 rue de Lanneau | 12,rue de Lanneau, 75005 Paris, France",4,1031,48.8484393,2.3377814,2388.6964383780014
"5 rue Lobineau, 75006 Paris, France",4.5,226,48.8516182,2.3277312,2149.812736611114
"68 rue Pierre Charron | Intersection with avenue des Champs-Elysées, 75008 Paris, France",4,290,48.8698625,2.2949756,3089.232857548892
"Route De Suresnes - Bois De Boulogne, 75116 Paris, France",4.5,1117,48.8688197,2.2562452,5923.320545507015
"13 rue de l_Ancienne Comedie, 75006 Paris, France",4,5048,48.8530636,2.3300686,1945.6298108173357
