"adress","rating","nbreviews"
"111 rue Saint Lazare, 75008 Paris, France","4","737"
"6 rue de Saint Simon, 75007 Paris, France","4","338"
"19 rue Beaubourg | Centre Georges Pompidou, 75004 Paris, France","3.5","2688"
"9 rue Duphot, 75001 Paris, France","3.5","695"
"20 rue Quentin Bauchart | Ave des Champs-Elysees and Ave George V, 75008 Paris, France","3","225"
"52 rue de Longchamp | Trocadero, 75116 Paris, France","4.5","175"
"17 rue Chaligny, 75012 Paris, France","4.5","1062"
"8 rue Gustave Flaubert, 75017 Paris, France","4.5","485"
"Quartier Chinois 32 avenue de Choisy, 75013 Paris, France","3.5","540"
"1 B avenue du General Leclerc, 75014 Paris, France","3","298"
"79 boulevard de Clichy | 79 Boulevard de Clichy, 75009 Paris, France","3.5","244"
"1 Place de la Republique, 75003 Paris, France","3","361"
"4, quai d'Orleans, lle Saint-Louis, 75004 Paris, France","4","153"
"231 rue Saint Honore | Côté Cour, 75001 Paris, France","4.5","309"
"30 rue Pierre Lescot, 75001 Paris, France","3.5","487"
"117 rue du Cherche Midi | 6th Arr, 75006 Paris, France","4","819"
"47 rue de Richelieu, 75001 Paris, France","4.5","421"
"8 avenue de Taillebourg, 75011 Paris, France","4","341"
"44 rue Saint Ferdinand, 75017 Paris, France","4.5","204"
"9 rue du Mont Thabor, 75001 Paris, France","4","446"
"85 avenue des Ternes, 75017 Paris, France","4","302"
"1 rue du Pont Neuf | 1, rue du Pont Neuf, 75001 Paris, France","3.5","3526"
"24 Place du Marche Saint Honore, 75001 Paris, France","4","868"
"17 Rue Malar, 75007 Paris, France","4.5","372"
"9 Place des Vosges, 75004 Paris, France","4","533"
"9 rue Bouchut | Ecole Militaire, 75015 Paris, France","4.5","396"
"28 rue du Mont Thabor, 75001 Paris, France","4","1096"
"84 rue de Varenne, 75007 Paris, France","4","1338"
"34 rue des Rosiers, 75004 Paris, France","4","4834"
"181 rue du Chateau, 75014 Paris, France","4.5","415"
"4 rue Beethoven, 75016 Paris, France","4.5","668"
"5 rue Montalembert | Hotel Pont Royal, 75007 Paris, France","4","2662"
"1 rue Maitre Albert, 75005 Paris, France","4","871"
"12 boulevard Saint Germain, 75005 Paris, France","4","269"
"16 avenue de la Motte Picquet, 75007 Paris, France","4.5","623"
"161 avenue de Malakoff, 75116 Paris, France","4","1383"
"106 rue de la Folie Mericourt, 75011 Paris, France","4.5","515"
"Butte aux Cailles 26 rue Bobillot, 75013 Paris, France","4","338"
"41 avenue Montaigne, 75008 Paris, France","3.5","2330"
"15 Place de la Madeleine, 75008 Paris, France","3.5","314"
"25 rue Charles V, 75004 Paris, France","3.5","393"
"83 rue Laugier, 75017 Paris, France","4","368"
"11 rue Dupin, 75006 Paris, France","4","781"
"Oberkampf 55 B rue Jean Pierre Timbaud, 75011 Paris, France","4.5","266"
"16 rue Saussier Leroy | 16 Rue Saussier-Leroy 75017 Paris, 75017 Paris, France","4","325"
"35 rue Saint Louis en L Ile, 75004 Paris, France","4.5","661"
"92 rue Broca, 75013 Paris, France","4","307"
"18 Rue Saint Rustique | Angle 2, Rue des Saules, 75018 Paris, France","4","714"
"10 Place Constantin Brancusi, 75014 Paris, France","4","462"
"70 boulevard Edgar Quinet, 75014 Paris, France","4","341"
"4 rue Jean du Bellay, 75004 Paris, France","3.5","451"
"4 rue Juliette Recamier, 75007 Paris, France","4","1165"
"171 boulevard du Montparnasse, 75006 Paris, France","4","1568"
"20 rue Saint Roch | 20 Rue Saint Roch, 75001 Paris, France","4.5","669"
"67 rue du Montparnasse, 75014 Paris, France","4","1813"
"129 rue Saint Dominique, 75007 Paris, France","4.5","2195"
"1 rue de la Michodiere, 75002 Paris, France","4","447"
"1 rue du Bac, 75007 Paris, France","4","930"
"59 avenue de la Motte Picquet, 75015 Paris, France","4","572"
"1 allee de Longchamp | Bois de Boulogne, 75116 Paris, France","4.5","1066"
"14 rue Mabillon, 75006 Paris, France (Formerly La Grille Saint Germain)","3","345"
"69 rue du Rocher, 75008 Paris, France","4.5","225"
"2 Place de l Odeon, 75006 Paris, France","4","638"
"2 rue Descartes, 75005 Paris, France","4","241"
"21 rue Quentin Bauchart, 75008 Paris, France","3.5","98"
"27 rue de Vaugirard, 75006 Paris, France","4.5","609"
"52 rue des Abbesses, 75018 Paris, France","4","1220"
"39 rue Geoffroy Saint Hilaire, 75005 Paris, France","3.5","879"
"26 rue Francois Miron, 75004 Paris, France","3.5","310"
"11 rue de la Tour | Quartier Passy, 75116 Paris, France","4.5","352"
"9 rue Vauvilliers, 75001 Paris, France","4","966"
"105 boulevard du Montparnasse, 75006 Paris, France","4","1848"
"41 rue Lepic | Montmartre, Abbeses, 75018 Paris, France","4.5","612"
"20 rue Beautreillis, 75004 Paris, France","4","137"
"15 quai de la Tournelle, 75005 Paris, France","4.5","2393"
"4 rue Blainville, 75005 Paris, France","4","581"
"164 boulevard de Grenelle, 75015 Paris, France","4","591"
"8 Place de la Republique, 75011 Paris, France","3.5","1253"
"82 B boulevard du Montparnasse, 75014 Paris, France","3.5","1104"
"131 boulevard Saint Germain, 75006 Paris, France","4","1444"
"63 Avenue Des Champs Elysees, 75008 Paris, France","3.5","2273"
"95 Boulevard Gouvion Saint Cyr | Im, 75017 Paris, France","4","905"
"67 rue Lauriston, 75116 Paris, France","4","386"
"21 rue Bonaparte, 75006 Paris, France","4","3365"
"41 avenue Gabriel, 75008 Paris, France","4","449"
"20 rue de Bellechasse, 75007 Paris, France","4","384"
"103 avenue des Ternes, 75017 Paris, France","4","722"
"33 rue Saint Jacques | Métro Cluny-La-Sorbonne, 75005 Paris, France","4","1523"
"3 rue Jouye Rouve, 75020 Paris, France","4","428"
"2 rue Casimir Perier, 75007 Paris, France","3.5","430"
"18 Rue Blanche, 75009 Paris, France","3.5","746"
"2 rue Marie Et Louise | et 33 rue Bichat, 75010 Paris, France","4","165"
"10 rue Gustave Flaubert, 75017 Paris, France","4","246"
"232 rue Saint Charles, 75015 Paris, France","4","175"
"16 rue Princesse, 75006 Paris, France","4.5","881"
"33 rue de Lille, 75007 Paris, France","4","381"
"18 rue Paul Bert, 75011 Paris, France","4","1277"
"10 rue Servandoni | Saint Germain-Des-Pres, 75006 Paris, France","4.5","239"
"112 Rue Du Faubourg Saint-Honore | Le Bristol Paris, 75008 Paris, France","5","2859"
"16 rue Brey, 75017 Paris, France","4.5","177"
"52 rue Fabert, 75007 Paris, France","3.5","529"
"19 Rue des Fosses Saint-Jacques, 75005 Paris, France","4","221"
"Hopital Saint Louis 10 avenue Richerand, 75010 Paris, France","4","391"
"37 avenue Hoche, 75008 Paris, France","4.5","806"
"14 Chemin de Ceinture du Lac Inferieur du Bois de Boulogne | Embarcadere des Iles, Porte de la Muette, 75016 Paris, France","3.5","1552"
"3 rue Arsene Houssaye, 75008 Paris, France","4","486"
"1 rue Christine, 75006 Paris, France","4.5","1272"
"114 rue Amelot, 75011 Paris, France","4","420"
"9 Carrefour De L_Odeon | Relais St. Germain Hotel, 75006 Paris, France","4","1775"
"80 avenue de la Grande Armee, 75017 Paris, France","4","1108"
"9 rue Cujas, 75005 Paris, France","4","374"
"2 rue de la Coutellerie, 75004 Paris, France","4.5","528"
"108 boulevard du Montparnasse, 75014 Paris, France","4","1361"
"243 boulevard Raspail, 75014 Paris, France","4","181"
"5 rue Parrot, 75012 Paris, France","3.5","261"
"8 rue Muller | 18e, 75018 Paris, France","3.5","606"
"4 Place Tattegrain, 75116 Paris, France","3.5","336"
"19 avenue de la Motte Picquet, 75007 Paris, France","4.5","1112"
"6 rue de l Amiral Coligny, 75001 Paris, France","4","1390"
"4 boulevard des Capucines, 75009 Paris, France","3.5","2489"
"2 rue Vivienne | A proximité du métro Bourse Ligne 3; Near the metro Bourse Line 3, 75002 Paris, France","4","2625"
"17 rue de Beaujolais, 75001 Paris, France","4.5","1116"
"171 rue de la Convention, 75015 Paris, France","4","210"
"12 impasse Berthaud, 75003 Paris, France","4.5","467"
"Avenue Gustave Eiffel | Eiffel Tower - 2nd floor, 75007 Paris, France","4","535"
"3 rue des Rosiers, 75004 Paris, France","4","1129"
"8 rue Guisarde, 75006 Paris, France","4","347"
"77 rue de Richelieu, 75002 Paris, France","4","1687"
"228 rue de Rivoli, 75001 Paris, France","4.5","987"
"Pyrenees 401 rue des Pyrenees, 75020 Paris, France","4","119"
"42 boulevard des Batignolles | 42 Boulevard des Batignolles, 75017 Paris, France","4","172"
"83 rue Lepic, 75018 Paris, France","4","949"
"51 rue du Cherche Midi, 75006 Paris, France","3.5","517"
"25 rue Taitbout, 75009 Paris, France","4.5","402"
"28 rue de l Exposition, 75007 Paris, France","4.5","1059"
"51 avenue de la Motte Picquet, 75015 Paris, France","3.5","491"
"47 avenue George V, 75008 Paris, France","3.5","611"
"50 rue Vavin, 75006 Paris, France","4.5","625"
"18 rue des Belles Feuilles, 75116 Paris, France","4","190"
"6 rue Perronet, 75007 Paris, France","4.5","170"
"39 rue de la Bucherie, 75005 Paris, France","4.5","1811"
"107 rue de Sevres, 75006 Paris, France","4","491"
"9 rue de Bearn, 75003 Paris, France","4.5","1180"
"9 boulevard de Port Royal, 75013 Paris, France","4","860"
"38 rue Pergolese, 75116 Paris, France","4.5","353"
"9 rue de Pontoise | 9 Rue de Pontoise, 75005 Paris, France","4.5","1144"
"12 rue de Lanneau | 12,rue de Lanneau, 75005 Paris, France","4","1031"
"5 rue Lobineau, 75006 Paris, France","4.5","226"
"68 rue Pierre Charron | Intersection with avenue des Champs-Elysées, 75008 Paris, France","4","290"
"Route De Suresnes - Bois De Boulogne, 75116 Paris, France","4.5","1117"
"13 rue de l_Ancienne Comedie, 75006 Paris, France","4","5048"
"78 rue Quincampoix, 75003 Paris, France","4","185"
"3 rue des Grands Degres, 75005 Paris, France","4","1446"
"202 rue Saint Honore, 75001 Paris, France","3","349"
"20 rue Saint Benoit, 75006 Paris, France","4","2491"
"101 boulevard du Montparnasse, 75006 Paris, France","4","3136"
"6 rue des Abbesses | Montmartre, 75018 Paris, France","4.5","2206"
"25 avenue Montaigne, 75008 Paris, France","4.5","478"
"36 rue du Mont Thabor, 75001 Paris, France","4.5","2252"
"133 avenue Victor Hugo, 75116 Paris, France","3.5","685"
"7 rue Chambiges, 75008 Paris, France","3.5","136"
"91 boulevard Gouvion Saint Cyr, 75017 Paris, France","3.5","751"
"84 avenue de Suffren, 75015 Paris, France","4","1474"
"Marais 31 rue de la Cerisaie, 75004 Paris, France","4.5","627"
"21 rue Brunel | 21,rue Brunel, 75017, Paris, Île-de-France, 75017 Paris, France","4","414"
"84 quai de l Hotel de Ville, 75004 Paris, France","4","500"
"29 rue Vivienne, 75002 Paris, France","4","1305"
"13 rue Ternaux, 75011 Paris, France","4.5","395"
"135 rue Saint Dominique, 75007 Paris, France","4.5","1333"
"La Motte Picquet 13 rue Beatrix Dussane, 75015 Paris, France","4.5","604"
"27 quai Voltaire, 75007 Paris, France","4","330"
"1 rue de la Banque, 75002 Paris, France","4.5","184"
"204 rue du Faubourg Saint Antoine, 75012 Paris, France","4","248"
"21 rue de Caumartin, 75009 Paris, France","4","537"
"22 rue Chaligny, 75012 Paris, France","4","312"
"7 rue Gomboust, 75001 Paris, France","4.5","141"
"9 rue Decres, 75014 Paris, France","4.5","2389"
"189 rue de l Universite, 75007 Paris, France","4","233"
"4 Carrefour de l Odeon, 75006 Paris, France","4","1070"
"131 rue Saint Dominique, 75007 Paris, France","4","1166"
"Bastille 24 rue des Taillandiers, 75011 Paris, France","4.5","378"
"87 boulevard de Courcelles, 75008 Paris, France","3.5","505"
"30 rue Gay Lussac, 75005 Paris, France","4.5","2248"
"14 rue de la Banque, 75002 Paris, France","4","666"
"19 Place des Vosges, 75004 Paris, France","3.5","882"
"15 rue des Petits Champs, 75001 Paris, France","4","629"
"15 avenue Montaigne, 75008 Paris, France","3.5","1319"
"16 avenue Victor Hugo, 75116 Paris, France","4","281"
"13 rue des Grands Augustins, 75006 Paris, France","4.5","429"
"30 rue du Bourg Tibourg, 75004 Paris, France","4.5","466"
"4 avenue George V, 75008 Paris, France","3.5","549"
"Entree 2 2 rue de Passy, 75016 Paris, France","3.5","261"
"3 rue Royale, 75008 Paris, France","4","463"
"20 rue Rennequin, 75017 Paris, France","4.5","589"
"Quartier Latin 17 rue Saint Jacques, 75005 Paris, France","4","552"
"12 avenue Rapp, 75007 Paris, France","4","630"
"4 rue Bernard Palissy, 75006 Paris, France","4","115"
"Bercy Village 36 Cour Saint Emilion, 75012 Paris, France","2.5","810"
"123 rue Lauriston, 75116 Paris, France","4.5","811"
"157 rue Saint Jacques, 75005 Paris, France","5","205"
"129 avenue de Choisy, 75013 Paris, France","4","1452"
"6 rue Balzac, 75008 Paris, France","4.5","987"
"81 rue Jean de la Fontaine, 75016 Paris, France","3.5","349"
"109 boulevard Haussmann, 75008 Paris, France","4.5","482"
"133 avenue des Champs Elysees | Publicis Drugstore, 75008 Paris, France (Formerly Publicis Drugstore)","3.5","471"
"5 Rue de la Paix | Park Hyatt Paris, 75002 Paris, France","5","1212"
"14 rue Jean Mace, 75011 Paris, France","4","248"
"50 rue de Verneuil, 75007 Paris, France","4","119"
"8 rue des Grands Augustins, 75006 Paris, France","4.5","539"
"32 avenue George V, 75008 Paris, France","3.5","407"
"La Motte Picquet 6 rue Desaix, 75015 Paris, France","4.5","585"
"1 rue de la Legion D Honneur, 75007 Paris, France","4","1415"
"110 Galerie de Valois | Jardin du Palais Royal, 75001 Paris, France","4.5","519"
"15 avenue de Choisy, 75013 Paris, France","3.5","618"
"34 rue des Bourdonnais, 75001 Paris, France","4","285"
"27 rue Descartes | 75005, 75005 Paris, France","4.5","646"
"9 Place de la Madeleine, 75008 Paris, France","4","970"
"15 rue Lamennais, 75008 Paris, France","4.5","972"
"60 rue de Verneuil, 75007 Paris, France","4","140"
"5 rue de Bourgogne, 75007 Paris, France","4.5","389"
"23 rue de Dunkerque | 23 Rue de Dunkerque, 75010 Paris, France","4","2080"
"2 B rue des Ciseaux, 75006 Paris, France","4","160"
"142 boulevard Saint Germain, 75006 Paris, France","4","1290"
"108 avenue du Maine, 75014 Paris, France","4","584"
"71 avenue de Suffren, 75007 Paris, France","4","586"
"5 rue de Berri | Hotel le Warwick, 75008 Paris, France","4.5","670"
"9 avenue Pierre 1er de Serbie, 75116 Paris, France","4","219"
"14 Place de Clichy, 75018 Paris, France","4","1821"
"13 rue des Petits Champs, 75001 Paris, France","4","540"
"4 rue des Grands Augustins, 75006 Paris, France","4.5","1422"
"1er etage de la Tour Eiffel, 75007 Paris, France","4","9835"
"4 rue Sauffroy, 75017 Paris, France","4","320"
"9 rue Guisarde | En Face De La Maison De La Radio, 75006 Paris, France","3.5","364"
"59 rue Saint Andre des Arts | Passage du commerce saint andré des arts, 75006 Paris, France","4.5","2532"
"16 rue Mabillon, 75006 Paris, France","4","202"
"1 rue Gozlin, 75006 Paris, France","3.5","509"
"12 rue Faidherbe, 75011 Paris, France","4","261"
"7 avenue du Trone, 75011 Paris, France","3.5","1279"
"10 rue de la Grande Truanderie, 75001 Paris, France","4","384"
"9 rue du Tresor | Le Marais, 75004 Paris, France","4","631"
"181 rue de Charenton, 75012 Paris, France","4.5","494"
"12 rue Guisarde, 75006 Paris, France","4","887"
"9 rue de la Montagne Ste Genevieve, 75005 Paris, France","4.5","446"
"1 rue Delambre, 75014 Paris, France","4","466"
"10 rue de l Ancienne Comedie | Odéon, 75006 Paris, France","4","218"
"8 chaussee de la Muette, 75016 Paris, France","4","193"
"21 rue de la Collegiale | Gobelins, 75005 Paris, France","4.5","650"
"11 rue de Lanneau, 75005 Paris, France","4","1708"
"31 rue Berger | 10 rue des Prouvaires, 75001 Paris, France","4","1268"
"2 Place de la Contrescarpe, 75005 Paris, France","4","134"
"271 boulevard Pereire, 75017 Paris, France","4","1844"
"32 rue Sainte Anne, 75001 Paris, France","3.5","1426"
"30 Place de la Nation, 75012 Paris, France","3","556"
