"adress","rating","nbreviews"
"28 rue Saint Andre des Arts, 75006 Paris, France","4","199"
"24 rue Saint Augustin, 75002 Paris, France","4","1021"
"1 quai D Austerlitz, 75013 Paris, France","4","1209"
"155 rue Saint Charles, 75015 Paris, France","4","361"
"8 rue de Conde, 75006 Paris, France","4","607"
"8 rue du Pas de la Mule, 75003 Paris, France","4","540"
"43 rue Croix des Petits Champs, 75001 Paris, France","4.5","512"
"34 rue de Caumartin, 75009 Paris, France","4","449"
"70 boulevard de Grenelle, 75015 Paris, France","4","402"
"10 rue du Roi de Sicile | metro Saint Paul le Marais, 75004 Paris, France","4","457"
"1 rue des Petits Carreaux, 75002 Paris, France","4","157"
"85 rue de Maubeuge, 75010 Paris, France","3.5","200"
"10 rue Saint Augustin, 75002 Paris, France","4","336"
"13 rue de la Montagne Ste Genevieve, 75005 Paris, France","4","193"
"74 rue de Charonne, 75011 Paris, France","3.5","573"
"rue Amelot, 75011 Paris, France","4.5","418"
"17 place du Trocadero, 75116 Paris, France","3.5","1508"
"33 avenue du Maine | 56th Floor, 75015 Paris, France","4","4058"
"36 rue des Petits Champs, 75002 Paris, France","3","306"
"12 rue la Fayette, 75009 Paris, France","4","435"
"32 boulevard Garibaldi, 75015 Paris, France","4.5","172"
"2 Place du Marche Sainte Catherine, 75004 Paris, France","4","529"
"166 rue Saint Honore, 75001 Paris, France","4","342"
"1 rue Louis le grand, 75002 Paris, France","4","164"
"35 boulevard Saint Germain, 75005 Paris, France","3.5","203"
"71 boulevard du Montparnasse, 75006 Paris, France","3.5","1286"
"38 rue Lepic, 75018 Paris, France","4","811"
"38 rue Monsieur le Prince, 75006 Paris, France","4","669"
"76 rue de Seine, 75006 Paris, France","3.5","207"
"1 rue du Pont Louis Philippe, 75004 Paris, France","3.5","919"
"40 rue des Petits Champs, 75002 Paris, France","4","148"
"20 rue Surcouf, 75007 Paris, France","4.5","440"
"69 rue des Gravilliers, 75003 Paris, France","4","943"
"12 rue Papillon, 75009 Paris, France","4.5","1084"
"37 rue Sainte Anne, 75001 Paris, France","3.5","218"
"29 B rue Saint Didier, 75116 Paris, France","4","605"
"73 avenue Marceau, 75116 Paris, France","4","392"
"55 quai de Valmy, 75010 Paris, France","4","717"
"36 Place du Marche Saint Honore, 75001 Paris, France","3.5","415"
"32 rue du Mont Thabor, 75001 Paris, France","4","452"
"116 rue Oberkampf, 75011 Paris, France","4","362"
"41 rue des Bourdonnais, 75001 Paris, France","4","564"
"71 rue Caulaincourt, 75018 Paris, France","4.5","232"
"3 rue Poulbot | Montmartre, 75018 Paris, France","4.5","765"
"8 Place de la Bastille, 75011 Paris, France","2","199"
"39 rue Saint Louis en L Ile, 75004 Paris, France","3.5","1446"
"8 avenue de la Republique, 75011 Paris, France","3.5","116"
"49 rue de Turenne, 75003 Paris, France","4","1017"
"27 quai Branly | Taxi drop-off at 206 Rue de l'Université, 75007 Paris, France","4","2630"
"30 rue Vieille du Temple, 75004 Paris, France","4","467"
"33 rue des 2 Ponts, 75004 Paris, France","4","1265"
"5 rue Daunou, 75002 Paris, France","4","233"
"Rue du Dragon, 75006 Paris, France","3.5","235"
"4 boulevard Saint Denis, 75010 Paris, France","4","492"
"35 rue Bergere, 75009 Paris, France","4","335"
"43 avenue de la Motte Picquet, 75007 Paris, France","3","354"
"6 Place Edmond Rostand, 75006 Paris, France","3","405"
"16 rue de Vaugirard, 75006 Paris, France","4.5","546"
"10 rue du Tresor, 75004 Paris, France","3.5","349"
"3 avenue Winston Churchill | Grand Palais, 75008 Paris, France","4","1794"
"97 Avenue d Ivry, 75013 Paris, France","4","297"
"10, rue Delambre, 75014 Paris, France","3.5","621"
"228 Rue De Charenton, 75012 Paris, France","4.5","486"
"2 rue de Passy | Place du Costa Rica, 75016 Paris, France","4","262"
"9 rue Pierre Lescot, 75001 Paris, France","3.5","565"
"11 rue de Berri, 75008 Paris, France","3","372"
"18 rue de la Bucherie, 75005 Paris, France","4","691"
"20 rue de la Harpe, 75005 Paris, France","3.5","651"
"17 rue des Fosses Saint Jacques, 75005 Paris, France","4.5","153"
"1 rue Perrault | Metro Louvre Rivoli, 75001 Paris, France","4.5","299"
"26 rue Chanoinesse, 75004 Paris, France","4.5","1286"
"21 or 24 Rue Cail, 75010 Paris, France","4","503"
"4 rue Lamarck, 75018 Paris, France (Formerly Sacre Resto)","4.5","1078"
"9 rue du Vertbois, 75003 Paris, France","4.5","782"
"175 rue de Grenelle, 75007 Paris, France","4.5","117"
"2 B boulevard Saint Martin, 75010 Paris, France","3","460"
"35 rue de Vaugirard, 75006 Paris, France","4.5","284"
"25 rue des Martyrs, 75009 Paris, France","3.5","270"
"15 rue Lepic, 75018 Paris, France","3.5","2155"
"41 rue Monsieur le Prince, 75006 Paris, France","3.5","1740"
"27 rue Vivienne | 27 Rue Vivienne, 75002 Paris, France","4","431"
"145 quai de Valmy, 75010 Paris, France","4","40"
"42 Place du Marche Saint Honore, 75001 Paris, France","3.5","703"
"16 rue de la Huchette, 75005 Paris, France","4.5","1326"
"4 rue de Poitou, 75003 Paris, France","4","180"
"39 rue des Ecoles | 5th Arrondissement, 75005 Paris, France","4","1214"
"102 Boulevard du Montparnasse | 102, Boulevard du Montparnasse, 75014 Paris, France","3.5","5150"
"41 rue de l_Arbre Sec, 75001 Paris, France","4","230"
"35 rue de la Fontaine au Roi, 75011 Paris, France","4","120"
"61 rue Saint Louis en L Ile, 75004 Paris, France","4.5","481"
"6 rue de Beaujolais | Quartier Palais Royal, 75001 Paris, France","4","504"
"2 boulevard de Clichy, 75018 Paris, France","4","574"
"79 rue Saint Dominique, 75007 Paris, France","3.5","1417"
"2 Place du Tertre, 75018 Paris, France","3","282"
"13 rue Lavandieres Ste Opportune, 75001 Paris, France","4","610"
"166 boulevard Saint Germain, 75006 Paris, France","4","572"
"50 rue du Mont Cenis, 75018 Paris, France","4.5","486"
"19 Place de la Madeleine, 75008 Paris, France","4","784"
"15 rue de l Estrapade, 75005 Paris, France","4.5","528"
"21 quai de Montebello, 75005 Paris, France","4","1094"
"53 rue du Montparnasse, 75014 Paris, France","4","251"
"28 Place Saint Ferdinand, 75017 Paris, France","4","450"
"29 rue Galande, 75005 Paris, France","4.5","1329"
"35 rue Saint Andre des Arts, 75006 Paris, France","4.5","532"
"4 rue Tiquetonne, 75002 Paris, France","4","90"
"43 rue de Montpensier, 75001 Paris, France","4","303"
"20 rue Rosenwald, 75015 Paris, France","4.5","349"
"13 rue du Faubourg Saint Denis, 75010 Paris, France","4.5","30"
"13 Place du Pont Neuf, 75001 Paris, France","4","228"
"138 rue de Vaugirard, 75015 Paris, France","4","212"
"95 boulevard du Montparnasse, 75006 Paris, France","3","227"
"6 rue d Alesia, 75014 Paris, France","4.5","325"
"75 avenue de Villiers | En face de la station de metro Wagram, 75017 Paris, France","4","343"
"81 rue du Rocher, 75008 Paris, France","4","285"
"50bis rue Marx-Dormoy, 75018 Paris, France","4","179"
"7 rue des Prouvaires | Angle 31 Rue Berger, 75001 Paris, France (Formerly Lamfe)","3.5","282"
"9 rue de la Tremoille, 75008 Paris, France","3.5","425"
"194 avenue de Choisy, 75013 Paris, France","4","156"
"51 quai des Grands Augustins, 75006 Paris, France","4","207"
"19 Place Dauphine, 75001 Paris, France","4","365"
"18 rue Eugene Sue, 75018 Paris, France","4.5","521"
"3 rue Geoffroy L Angevin, 75004 Paris, France","4.5","1983"
"14 quai du Louvre, 75001 Paris, France","3.5","339"
"45 rue Vavin, 75006 Paris, France","4","414"
"1 Place du Chatelet, 75001 Paris, France","4","817"
"12 rue des Envierges, 75020 Paris, France","4.5","221"
"27 avenue Marceau, 75116 Paris, France","3.5","496"
"56 rue Sainte Anne, 75002 Paris, France","4","252"
"20 rue de la Michodiere, 75002 Paris, France","4","82"
"5 rue Lavandieres Ste Opportune, 75001 Paris, France","4","211"
"3 boulevard Saint Jacques, 75014 Paris, France","3","147"
"26 rue Saint Paul, 75003 Paris, France","4","810"
"58 rue Francois 1er | Angle 1, Rue Lincoln, 75008 Paris, France","3.5","511"
"41 boulevard du Temple, 75003 Paris, France","3.5","183"
"14 boulevard Montmartre, 75009 Paris, France","4","3512"
"39 boulevard des Capucines, 75002 Paris, France","4","1268"
"33 rue des Abbesses, 75018 Paris, France","3.5","305"
"22 rue de Ponthieu, 75008 Paris, France","3.5","133"
"35 rue de la Harpe, 75005 Paris, France","3.5","1100"
"15 avenue Matignon, 75008 Paris, France","4","669"
"109 rue Vieille du Temple, 75003 Paris, France (Formerly Breizh Café Le Marais)","4","1615"
"11 rue de Buci, 75006 Paris, France","3.5","1079"
"121 rue Saint Lazare, 75008 Paris, France","3","755"
"65 rue de Rennes, 75006 Paris, France","4","194"
"7 rue des Lombards, 75004 Paris, France","4","632"
"11 B rue Sainte Anne, 75001 Paris, France","4","917"
"38 rue de Bretagne, 75003 Paris, France","3.5","698"
"32 boulevard Poissonniere, 75009 Paris, France","3","1366"
"4 rue Saint Denis, 75001 Paris, France","4","501"
"62 rue des Lombards, 75001 Paris, France","3.5","524"
"41 rue des Archives, 75004 Paris, France","3.5","204"
"31 rue Saint Louis en L Ile, 75004 Paris, France","4.5","2192"
"49 boulevard Gouvion Saint Cyr, 75017 Paris, France","4","94"
"20 rue de la Pierre Levee, 75011 Paris, France","4","504"
"8 rue de l Ecole de Medecine, 75006 Paris, France","3.5","86"
"15 rue Dauphine, 75006 Paris, France","4","616"
"17 avenue Kleber, 75116 Paris, France (Formerly Hotel Raphael - La Terrasse)","4","229"
"64 rue de Bellechasse, 75007 Paris, France","4","186"
"90 rue de Charonne, 75011 Paris, France","4","280"
"6 rue Pierre Chausson, 75010 Paris, France","4.5","470"
"25 rue Mouffetard, 75005 Paris, France","4","650"
"5 rue Montorgueil, 75001 Paris, France","4","677"
"65 rue des Entrepreneurs, 75015 Paris, France","4","271"
"70 rue Mazarine, 75006 Paris, France","4","67"
"16 rue du Louvre, 75001 Paris, France","4","254"
"39 rue du Roi de Sicile | Metro Hotel de Ville/stPaul, 75004 Paris, France","4.5","334"
"21 rue d Ouessant, 75015 Paris, France","4","315"
"28 rue des Blancs Manteaux, 75004 Paris, France","4.5","710"
"5 rue d Alesia, 75014 Paris, France","4.5","170"
"56 rue Sainte Anne, 75002 Paris, France","4","57"
"19 quai de la Tournelle, 75005 Paris, France","4","716"
"28 rue Vieille du Temple, 75004 Paris, France","4","2035"
"32 rue de Longchamp, 75116 Paris, France (Formerly Café Jamin)","4.5","652"
"89 avenue Emile Zola, 75015 Paris, France","4","241"
"41 rue de la Bucherie | Opposite Notre Dame Cathedral, 75005 Paris, France","3","576"
"10 rue Brisemiche, 75004 Paris, France","4","676"
"28 avenue Ledru Rollin | Quartier Gare de Lyon, 75012 Paris, France","4","234"
"10 rue Thouin, 75005 Paris, France","4","384"
"13 rue du Bac, 75007 Paris, France","4.5","1712"
"4 rue des Mauvais Garcons, 75004 Paris, France","4","404"
"23 rue Vignon, 75008 Paris, France","3.5","144"
"11 rue de la Tremoille | Métro : Alma Marceau, George V ou Franklin D. Roosevelt, 75008 Paris, France","4","131"
"22 avenue de l Observatoire, 75014 Paris, France","3.5","323"
"25 rue du Colisee, 75008 Paris, France","4.5","612"
"36 rue de Varenne, 75007 Paris, France","4.5","563"
"6 Pl Trocadero Et du 11 Novembre, 75116 Paris, France","3.5","990"
"13 rue de la Paix | Entrée Hotel Westminster, 75002 Paris, France","4.5","134"
"15 Place du Tertre, 75018 Paris, France","3.5","1095"
"3 rue Richer, 75009 Paris, France","5","118"
"168 rue Ordener, 75018 Paris, France","4.5","223"
"137 rue du Faubourg Poissonniere, 75009 Paris, France","4","105"
"4 Pl Trocadero Et du 11 Novembre | 25 Place des Vosges, 75116 Paris, France","4","1287"
"8 avenue de New York, 75116 Paris, France","4","77"
"192 avenue Victor Hugo, 75116 Paris, France","4","90"
"51 Rue Saint Louis, 75004 Paris, France","4.5","824"
"44 rue Vieille du Temple | Le Marais, 75004 Paris, France","4.5","1032"
"52 rue d Orsel, 75018 Paris, France","3.5","105"
"18 rue Vavin, 75006 Paris, France","4","246"
"64 rue de la Montagne Ste Genevieve, 75005 Paris, France","4.5","338"
"15 avenue de Suffren, 75007 Paris, France","3.5","929"
"21 rue Ruhmkorff, 75017 Paris, France","4.5","134"
"1 Place de Rio de Janeiro, 75008 Paris, France","4","504"
"24 rue de Gramont, 75002 Paris, France","4","228"
"15 rue des Halles, 75001 Paris, France","4","230"
"111 rue Monge, 75005 Paris, France","4","206"
"18 avenue de Paris, 94300 Vincennes, France","3.5","239"
"34 rue Montmartre, 75001 Paris, France","4.5","1295"
"51 rue du Commerce, 75015 Paris, France","4","1715"
"8 rue Garreau, 75018 Paris, France","4.5","399"
"99 boulevard du Montparnasse, 75006 Paris, France","4","550"
"6 Place du Tertre, 75018 Paris, France","3.5","1360"
"7 rue Ste Croix de la Bretonnerie, 75004 Paris, France","4","299"
"24 rue des Abbesses | Paris 18e, 75018 Paris, France","4","1024"
"159 avenue de Choisy, 75013 Paris, France","4.5","482"
"30 rue Pierre Leroux, 75007 Paris, France","4.5","243"
"Disneyland Paris | Disney Village, Marne-la-Vallee, France","3","151"
"22 rue des Ecoles, 75005 Paris, France","4","223"
"4 Pl Trocadero Et du 11 Novembre, 75116 Paris, France","3.5","901"
"11 rue de Paris, 50270 Barneville-Carteret, France","4.5","705"
"2 rue Francois Mouthon, 75015 Paris, France","4","223"
"5 rue Saint Severin, 75005 Paris, France","2.5","704"
"2 Place du Marche Sainte Catherine, 75004 Paris, France","4","411"
"46 avenue Bosquet, 75007 Paris, France","4","698"
"30 rue Delambre, 75014 Paris, France","3.5","108"
"24 rue des Francs Bourgeois, 75003 Paris, France","4","473"
"4 avenue Mac Mahon, 75017 Paris, France","3.5","496"
"67 rue de Metz | Perard, 62520 Le Touquet – Paris-Plage, France","4","2531"
"58 boulevard de la Tour Maubourg, 75007 Paris, France","3.5","249"
"78 rue de Provence, 75009 Paris, France","3.5","176"
"37 boulevard Malesherbes, 75008 Paris, France","2.5","122"
"8 rue Croix des Petits Champs, 75001 Paris, France","4.5","475"
"14 rue Daunou, 75002 Paris, France (Formerly La Pascade)","4.5","653"
"84 Avenue Des Champs Elysees, 75008 Paris, France","3.5","927"
"14 rue Rambuteau, 75003 Paris, France","4","227"
"157 rue de Grenelle, 75007 Paris, France","4","203"
"140 avenue des Champs Elysees, 75008 Paris, France","3","755"
"4 rue Saussier Leroy, 75017 Paris, France","4.5","390"
"30 rue Marbeuf | 30 Rue Marbeuf, 75008 Paris, France","3","191"
"19 rue Henry Monnier, 75009 Paris, France","4.5","771"
"6 rue de la Vrilliere, 75001 Paris, France","4.5","1499"
"3 rue Saint Philippe du Roule, 75008 Paris, France","4.5","398"
"7 rue de Fleurus, 75006 Paris, France","4","108"
"46 rue du Faubourg Montmartre, 75009 Paris, France","4","546"
"6 rue de Moscou, 75008 Paris, France","4","211"
"rue Monsieur le Prince, Paris, France","4.5","90"
"31 rue de la Harpe, 75005 Paris, France","4","661"
"149 rue Saint Dominique, 75007 Paris, France","3.5","183"
"4 Place du Calvaire, 75018 Paris, France","4","846"
"30 rue Vernier, 75017 Paris, France","4.5","258"
"Place Louis Armand | Gare de Lyon, 75012 Paris, France","4","6247"
"24 Place Dauphine, 75001 Paris, France","4","589"
"18 boulevard Montmartre, 75009 Paris, France","2.5","463"
"34 rue du Laos, 75015 Paris, France","4","284"
"7 boulevard de la Madeleine, 75001 Paris, France","4","468"
"30, rue de Mogador, 75009 Paris, France (Formerly Pastapapa)","4","378"
"52 rue la Fayette, 75009 Paris, France","3.5","592"
"13 rue de Mezieres, 75006 Paris, France","4","558"
"2 B Place des Vosges, 75004 Paris, France","4.5","466"
"8 rue de Surene, 75008 Paris, France","3.5","208"
"5 rue de Jarente | Marais, 75004 Paris, France","4.5","481"
"36 rue Cler, 75007 Paris, France","4","912"
"101 Rue de L_Ouest, 75014 Paris, France","4.5","970"
"8 rue des Capucines, 75002 Paris, France","4","480"
"39 boulevard du Montparnasse, 75006 Paris, France","4","115"
"18 avenue George V, 75008 Paris, France","4","155"
"3 rue de Bievre, 75005 Paris, France","4.5","210"
"24 rue des Petits Champs, 75002 Paris, France","3.5","63"
"8 rue Monge | Maubert-Mutualité, Sorbonne, 75005 Paris, France","4","751"
"163 rue Saint Jacques, 75005 Paris, France","4","640"
"26 rue Saint Benoit, 75006 Paris, France","3.5","151"
"21 rue Marbeuf, 75008 Paris, France","4","644"
"5 rue des Prouvaires, 75001 Paris, France","4","822"
"54 avenue Felix Faure, 75015 Paris, France","4.5","478"
"138 rue Mouffetard, 75005 Paris, France","3.5","203"
"7 rue des 3 Freres, 75018 Paris, France","4","244"
"20 rue Mirabeau, 75016 Paris, France","4","172"
"1 Place Saint Michel, 75005 Paris, France","3","781"
"1 avenue George V | Place du pont de l alma, 75008 Paris, France","3.5","1007"
"9 rue de Beauce, 75003 Paris, France","4.5","484"
"Disneyland Resort Paris | Disney Village, Marne-la-Vallee, France","3.5","2461"
"Disneyland Park Paris | Disney Village, 77777, Marne-la-Vallee, France","3.5","5940"
"48 rue de Moscou, 75008 Paris, France","4.5","339"
"54 rue des Rosiers, 75004 Paris, France","3.5","639"
"109 rue Saint Honore, 75001 Paris, France","4","313"
"48 avenue de la Motte Picquet, 75015 Paris, France","4","341"
"8 rue du Commandant Riviere, 75008 Paris, France","4.5","409"
"108 boulevard Saint Germain, 75006 Paris, France","4.5","453"
"6 rue Chauveau Lagarde | 75008, 75008 Paris, France","4","105"
"8 rue du Dragon, 75006 Paris, France","3.5","279"
"2 avenue du General Leclerc, 75014 Paris, France","3.5","539"
"132 boulevard Saint Germain | 132,boulevard saint germain 75006 Paris, 75006 Paris, France","3.5","646"
"Birague | Metro Saint Paul, 75004 Paris, France","4","61"
"64 boulevard Haussmann | Le Printemps, 75009 Paris, France","4","718"
"24 rue de Rivoli | 24, Rue Rivoli, 75004, Paris, Île-de-France, 75004 Paris, France","4","284"
"2 rue Dupetit Thouars, 75003 Paris, France","3.5","305"
"58 rue Mouffetard, 75005 Paris, France","4","686"
"Disney Village | Disneyland Paris, 77777, Marne-la-Vallee, France","3.5","4926"
"101 rue Vieille du Temple, 75003 Paris, France","3.5","602"
"12 rue Soufflot, 75005 Paris, France","4","795"
"334 rue des Pyrenees, 75020 Paris, France","4","113"
"105 quai Branly, 75015 Paris, France","2","1015"
"14 rue Git le Coeur, 75006 Paris, France","4","465"
"66 quai de l Hotel de Ville, 75004 Paris, France","3.5","574"
"60 rue Pierre Charron, 75008 Paris, France","4","351"
"17 boulevard de Grenelle, 75015 Paris, France","3.5","65"
"8 rue Lamarck, 75018 Paris, France","4.5","360"
"20 rue Gerando, 75009 Paris, France","4","329"
"73 rue de Rennes, 75006 Paris, France","4","616"
"22 boulevard des Batignolles, 75017 Paris, France","4","83"
"4 rue de Monttessuy, 75007 Paris, France","4.5","633"
"4 rue Caulaincourt, 75018 Paris, France","4","146"
"45 rue du Cherche Midi, 75006 Paris, France","4","427"
"235 rue Saint Honore, 75001 Paris, France","4","759"
"44 rue Mouffetard, 75005 Paris, France","4.5","510"
"3 rue des Pyramides, 75001 Paris, France","4","202"
"161 rue Manin, 75019 Paris, France","3","62"
"75 avenue Emile Zola | Métro Charles Michel, ligne 10, 75015 Paris, France","4","28"
"11 rue Berthollet, 75005 Paris, France","4.5","30"
"12 rue Saint Jean | À l étage pas possible pour les handicapés..., 62520 Le Touquet – Paris-Plage, France","4.5","1100"
"37 B rue Rouelle, 75015 Paris, France","4.5","42"
"8 rue des 3 Freres, 75018 Paris, France","3","292"
"21 boulevard de Grenelle, 75015 Paris, France","3.5","164"
"12 rue du Marche Saint Honore, 75001 Paris, France","4","506"
"84 rue Baudricourt, 75013 Paris, France","4","71"
"18 rue de Turbigo, 75002 Paris, France","4.5","29"
"19 rue le Marois, 75016 Paris, France","4","50"
"5 rue du Pot de Fer, 75005 Paris, France","4.5","232"
"6 rue de Jarente, 75004 Paris, France","4.5","872"
"19 rue Guisarde, 75006 Paris, France (Formerly L'Enfance de Lard)","4","367"
"33 avenue Franklin Delano Roosevelt, 75008 Paris, France","3","179"
"4 Rue des Trois Freres, 75018 Paris, France","4","296"
"1 rue Paul Albert, 75018 Paris, France","3.5","153"
"8 Place Victor Hugo, 75116 Paris, France","3.5","340"
"Entree 1 1 Place de la Bastille, 75004 Paris, France","3","410"
"33 rue le Peletier, 75009 Paris, France","4.5","704"
"7 rue du Mont Cenis, 75018 Paris, France","3.5","528"
"4 rue Mathis, 75019 Paris, France","4","175"
"147 boulevard Raspail, 75006 Paris, France","3.5","19"
"12 rue Boutebrie, 75005 Paris, France","4","262"
"22 rue du Sommerard | Close to the Saint Germain neighbourhood, 75005 Paris, France","4.5","655"
"23 rue de la Fontaine au Roi, 75011 Paris, France","4","174"
"10 rue du Maine, 75014 Paris, France","3.5","250"
"10 rue Gregoire de Tours, 75006 Paris, France","4","561"
"Rue des Trois Freres | Montmartre, 75018 Paris, France","3.5","225"
"22 rue Mouffetard, 75005 Paris, France","3.5","137"
"54 avenue Kleber, 75116 Paris, France","4.5","95"
"14 rue Pascal | Métro Censier Daubenton, 75005 Paris, France","4.5","407"
"121 rue de Clignancourt, 75018 Paris, France","4","137"
"19 rue du Faubourg Montmartre, 75009 Paris, France","4","378"
"26 rue Jean Mermoz, 75008 Paris, France","4","263"
"4 rue de Milan, 75009 Paris, France","4","70"
"14 rue Breguet, 75011 Paris, France","4","215"
"34 rue de Penthievre, 75008 Paris, France","4.5","439"
"15 avenue Pierre 1er de Serbie, 75116 Paris, France","4","153"
"6 rue Gomboust, 75001 Paris, France","4","569"
"8 quai du Commandant Albert Paris, 50550 Saint-Vaast-la-Hougue, France","4","264"
"109 rue de Bagnolet, 75020 Paris, France","3.5","1264"
"19 rue Francois Miron, 75004 Paris, France","4.5","441"
"40 rue Cler, 75007 Paris, France","3.5","1059"
"40 rue de la Montagne Ste Genevieve, 75005 Paris, France","4","80"
"12 Rue Norvins, 75018 Paris, France","3","811"
"68 rue de Metz, 62520 Le Touquet – Paris-Plage, France","3.5","1547"
"38 rue de la Montagne Ste Genevieve, 75005 Paris, France","4.5","97"
"24 rue Chanoinesse, 75004 Paris, France","4","782"
"58 rue Gauthey, 75017 Paris, France","3.5","156"
"22 rue Jean Pierre Timbaud, 75011 Paris, France","4","555"
"6 rue Descartes, 75005 Paris, France","4","210"
"9 rue des Recollets, 75010 Paris, France","4.5","872"
"Rue de Buci | Rue de Buci, 75006 Paris, France","4","1272"
"rue de Vaugirard, 75006 Paris, France","4.5","117"
"144 boulevard Exelmans, 75016 Paris, France","4","501"
"82 avenue Marceau, 75008 Paris, France","3","565"
"32 rue Saint Jean, 62520 Le Touquet – Paris-Plage, France","3.5","839"
"90 rue des Dames, 75017 Paris, France","4","439"
"27 T boulevard Diderot | Gare de Lyon, Station, 75012 Paris, France","4","238"
"44 rue Notre Dame des Victoires, 75002 Paris, France","3.5","140"
"Place Andre Malraux, 75001 Paris, France","4","1095"
"234 rue de Rivoli, 75001 Paris, France","4","632"
"3 Place du General Koenig | Hyatt Regency Paris Etoile, 75017 Paris, France","3.5","217"
"6 rue des Canettes, 75006 Paris, France","4.5","618"
"25 rue Beautreillis | 25 rue Beautreillis, 75004 Paris, 75004 Paris, France","4","238"
"2 rue Poussin, 75016 Paris, France","4","111"
"17 rue de l Ecole Polytechnique, 75005 Paris, France","4.5","294"
"14 Faubourg de Paris, 89300 Joigny, France","4.5","727"
"169 rue Saint Honore, 75001 Paris, France","3.5","503"
"88 rue de Metz, 62520 Le Touquet – Paris-Plage, France","4.5","1607"
"80 rue de Grenelle, 75007 Paris, France","3.5","242"
"11 boulevard des Italiens, 75002 Paris, France","3.5","407"
"122 rue de Rennes, 75006 Paris, France","3.5","332"
"Disneyland Resort Paris, 77700 Chessy, Marne-la-Vallee, France","4","2580"
"121 rue Saint Honore, 75001 Paris, France","4.5","445"
"5 rue du Nil, 75002 Paris, France","4.5","1321"
"19 rue de l Etoile, 75017 Paris, France","4","386"
"39 quai des Grands Augustins, 75006 Paris, France","4.5","699"
"13 rue des Sablons, 75116 Paris, France","4.5","285"
"79 boulevard de Magenta, 75010 Paris, France","3.5","113"
"9 rue Poulbot, 75018 Paris, France","3","223"
"68 avenue Bosquet, 75007 Paris, France","4.5","1002"
"65 rue Rambuteau, 75004 Paris, France","4","616"
"5 rue de Bellechasse, 75007 Paris, France","3","373"
"Paris, France","3","104"
"188 boulevard Saint Germain, 75007 Paris, France","2.5","94"
"8 rue Xavier Privas, 75005 Paris, France","4.5","314"
"6 Place Saint Augustin | 6, place Saint Augustin, 75008 Paris, France","3","450"
"256 rue Saint Honore, 75001 Paris, France","4","202"
"186 rue de Grenelle, 75007 Paris, France","4","545"
"19 rue Rene Boulanger | 19 rue René Boulanger, 75010 Paris, France","3.5","321"
"4 rue du Bourg Tibourg | 75004, 75004 Paris, France","3.5","266"
"4 rue de Surene | 75008, 75008 Paris, France (Formerly Pancake Square)","4.5","365"
"7 Place de la Sorbonne, 75005 Paris, France","3.5","223"
"2 rue Dancourt, 75018 Paris, France","4","843"
"12 rue de Buci, 75006 Paris, France","4","400"
"73 avenue de Suffren, 75007 Paris, France","4","668"
"34 rue du Faubourg Montmartre, 75009 Paris, France","4","386"
"6 rue des Tournelles, 75004 Paris, France","4.5","450"
"1 rue Auber, 75009 Paris, France","3.5","580"
"36 rue Saint Louis en L Ile, 75004 Paris, France","4","528"
"52 rue Dauphine, 75006 Paris, France","3.5","516"
"20 rue Xavier Privas, 75005 Paris, France","3","267"
"Disneyland Paris Resort, Marne-la-Vallee, France","3.5","3351"
"75 avenue des Champs Elysees, 75008 Paris, France","3","874"
"240 rue de Rivoli, 75001 Paris, France","3.5","473"
"33 rue de la Harpe, 75005 Paris, France","4.5","401"
"45 rue de Richelieu, 75001 Paris, France","4.5","654"
"11 rue d Arcole, 75004 Paris, France","3.5","459"
"Disneyland Resort Paris | Frontierland, Marne-la-Vallee, France","3.5","1499"
"25 rue Gabrielle, 75018 Paris, France","4","1131"
"11 rue Dupont de l Eure, 75020 Paris, France","4","277"
"Disney Village | Disneyland Paris, 77705, Marne-la-Vallee, France","3.5","5785"
"64 rue Francois Miron, 75004 Paris, France","4","360"
"10 rue du General Lanrezac, 75017 Paris, France","4.5","1336"
"9 rue Christine, 75006 Paris, France","4","957"
"31 rue Boulard, 75014 Paris, France","4","285"
"116 rue Saint Denis, 75002 Paris, France","4.5","566"
"75 avenue des Gobelins, 75013 Paris, France","3.5","172"
"5 rue Soufflot, 75005 Paris, France","4","590"
"14 rue Richer, 75009 Paris, France","4","103"
"194 rue Saint Honore, 75001 Paris, France","3.5","361"
"228 rue de Rivoli, 75001 Paris, France","4","828"
"Disneyland Paris, Marne-la-Vallee, France","4","1845"
"2 rue de l Abreuvoir, 75018 Paris, France","3.5","343"
"85 rue Saint Antoine, 75004 Paris, France","4.5","366"
"29 rue Monge, 75005 Paris, France","3.5","284"
"37 rue Malar, 75007 Paris, France","4","408"
"6 Rue des Lavandieres Sainte-Opportun, 75001 Paris, France","4","222"
"167 rue de Grenelle | 70007, 75007 Paris, France","4","104"
"3 Place de la Sorbonne, 75005 Paris, France","3.5","353"
"Sequoia Lodge Hotel | Disneyland Paris Resort, 77777, Marne-la-Vallee, France","4","1347"
"60 avenue des Gobelins, 75013 Paris, France","4","313"
"51 rue Rouelle, 75015 Paris, France","4.5","131"
"72 rue Mouffetard, 75005 Paris, France","4","282"
"87 boulevard Haussmann, 75008 Paris, France","3.5","222"
"13 Place Saint Pierre, 75018 Paris, France","3","350"
"47 boulevard Saint Germain, 75005 Paris, France","4.5","53"
"5 rue de la Manutention, 75116 Paris, France (Formerly Les Marches)","4","652"
